时间戳,Unix时间戳,图片文件名,模型路径,置信度阈值,IoU阈值,推理设备
2025-12-24 17:48:35,1766569715.1603982,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-24 17:48:37,1766569717.1635306,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-24 17:48:38,1766569718.7957022,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:10:21,1766819421.3432133,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:10:27,1766819427.8211422,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:10:31,1766819431.572407,test98_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:10:36,1766819436.6739292,test87_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:11:01,1766819461.866589,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:11:17,1766819477.44486,1.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:11:50,1766819510.18133,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:12:28,1766819548.4497645,test87_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:12:32,1766819552.6458,test98_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:12:35,1766819555.9810128,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:13:28,1766819608.661361,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:56:41,1766822201.605172,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:56:58,1766822218.185264,1.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 15:57:11,1766822231.9490514,test87_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 16:00:56,1766822456.1307542,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 16:01:13,1766822473.863557,1.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 16:06:23,1766822783.1646073,test14_12bit.jpg,model\best.pt,0.3,0.15,cpu
2025-12-27 16:06:35,1766822795.4905477,test14_12bit.jpg,model\best.pt,0.15,0.15,cpu
2025-12-27 16:06:39,1766822799.3262954,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 16:06:57,1766822817.851797,1.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 16:40:57,1766824857.9153113,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-27 16:41:00,1766824860.6210682,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-29 23:06:38,1767020798.5577576,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-29 23:06:43,1767020803.2033792,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-29 23:06:45,1767020805.7376542,test98_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-29 23:06:52,1767020812.6063418,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-29 23:06:55,1767020815.1365864,test87_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-29 23:07:32,1767020852.3098474,3.jpg,model\best.pt,0.15,0.25,cpu
2025-12-31 10:59:22,1767149962.8466003,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2025-12-31 10:59:38,1767149978.8056397,3.jpg,model\best.pt,0.15,0.25,cpu
2025-12-31 11:04:30,1767150270.8876774,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-03 16:23:47,1767428627.2822933,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-03 16:24:32,1767428672.5827665,test14_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.15,0.25,cpu
2026-01-03 16:24:47,1767428687.692665,test14_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.25,cpu
2026-01-03 16:24:55,1767428695.1756868,test66_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.15,0.25,cpu
2026-01-03 16:24:59,1767428699.3814287,test70_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.15,0.25,cpu
2026-01-03 16:25:06,1767428706.2996416,test87_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.15,0.25,cpu
2026-01-03 16:25:09,1767428709.9343772,test98_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.15,0.25,cpu
2026-01-03 16:32:38,1767429158.8663833,test98_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.06,0.2,cpu
2026-01-03 16:32:43,1767429163.7160091,test14_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.06,0.2,cpu
2026-01-03 16:32:54,1767429174.294181,test14_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.06,0.15,cpu
2026-01-03 16:32:59,1767429179.7258673,test14_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.15,cpu
2026-01-03 16:33:04,1767429184.3947558,test66_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.15,cpu
2026-01-03 16:33:08,1767429188.257274,test70_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.15,cpu
2026-01-03 16:33:11,1767429191.15647,test87_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.15,cpu
2026-01-03 16:33:14,1767429194.2218556,test98_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.15,cpu
2026-01-03 16:33:22,1767429202.3971016,test98_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.2,cpu
2026-01-03 16:33:25,1767429205.2041895,test87_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.08,0.2,cpu
2026-01-03 16:33:53,1767429233.9443374,test66_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.06,0.15,cpu
2026-01-03 16:34:07,1767429247.1699653,test70_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.06,0.15,cpu
2026-01-03 16:34:10,1767429250.9350026,test87_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.06,0.15,cpu
2026-01-03 16:34:13,1767429253.99848,test98_12bit.jpg,C:\Users\潘姣\AppData\Local\Temp\defect_detect_models\best.pt,0.06,0.15,cpu
2026-01-03 16:40:15,1767429615.2084851,test98_12bit.jpg,model\best.pt,0.06,0.15,cpu
2026-01-04 15:57:50,1767513470.5671632,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-06 16:45:40,1767689140.5440152,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-07 14:58:21,1767769101.7635722,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-11 16:44:46,1768121086.3119438,test87_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-11 16:44:51,1768121091.0813556,test98_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-11 16:44:53,1768121093.375911,test66_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-11 16:44:55,1768121095.6453917,test14_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-11 16:44:58,1768121098.1493413,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-11 17:34:43,1768124083.337682,test70_12bit.jpg,model\best.pt,0.15,0.25,cpu
2026-01-12 11:47:50,1768189670.8791993,test87_12bit.jpg,model\best.pt,0.15,0.25,cpu
